gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4096,4096,16384,54,0,136.9168,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4015.25,735.22,0.0
gfx950,256,12288,4096,16384,45,0,383.8168,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4297.02,611.96,0.0
gfx950,256,16384,4096,11008,54,0,352.4708,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4191.75,700.6,0.0
gfx950,256,16384,4096,12288,54,0,389.9893,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4229.01,666.81,0.0
gfx950,256,16384,4096,22016,45,0,676.2902,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4369.33,531.82,0.0
gfx950,256,22016,4096,16384,54,0,705.2796,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4189.74,559.02,0.0
gfx950,256,4096,11008,16384,54,0,354.8055,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4164.17,602.89,0.0
gfx950,256,16384,11008,4096,54,0,416.7765,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3544.99,1000.08,0.0
gfx950,256,16384,22016,4096,54,0,808.4175,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3655.21,989.67,0.0
