gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4096,4096,16384,54,0,139.7324,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3934.35,720.4,0.0
gfx950,256,6144,4096,16384,50,0,213.0194,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,3871.17,630.07,0.0
gfx950,256,16384,4096,6144,45,0,216.7063,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3805.31,909.67,0.0
gfx950,256,16384,4096,28672,54,0,861.1082,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4469.0,496.82,0.0
gfx950,256,28672,4096,16384,54,0,883.4187,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4356.13,569.74,0.0
gfx950,256,4096,14336,16384,54,0,457.7346,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4203.63,586.44,0.0
gfx950,256,16384,14336,4096,54,0,520.4035,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3697.41,1023.58,0.0
