gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4096,4096,16384,54,0,140.6148,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3909.66,715.88,0.0
gfx950,256,6144,4096,16384,50,0,214.6843,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,3841.15,625.19,0.0
gfx950,256,16384,4096,6144,54,0,216.6247,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3806.74,910.02,0.0
gfx950,256,16384,4096,12288,54,0,390.1452,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4227.32,666.54,0.0
gfx950,256,16384,4096,24576,54,0,744.1972,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4432.34,518.51,0.0
gfx950,256,24576,4096,16384,45,0,761.1749,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4333.48,573.07,0.0
gfx950,256,4096,12288,16384,54,0,374.8404,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4399.92,626.62,0.0
gfx950,256,16384,24576,4096,45,0,884.6661,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3728.56,1005.12,0.0
